Martin Marietta Aggregates,1471 Quaker Road,Warrenton,30828,33.408,-82.662,Warren,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Dalton Quarry,585 Cherokee Estate Road,Dalton,30721,34.77,-84.969,Whitfield,Operational,Synthetic Minor,Aggregate Quarry
AgLogic Chemical LLC - Camden Plant,251 Commercial Drive,Woodbine,31569,30.843,-81.684,Camden,Operational,Minor,Agricultural Chemical Manufacturing
Union Agener Inc,1788 Lovers Lane,Augusta,30901,33.421,-81.945,Richmond,Operational,Minor,Agricultural Pharmaceuticals
Kysor Warren EPTA US Corporation,5 Corporate Ridge,Columbus,31907,32.495,-84.879,Muscogee,Operational,Permit by Rule,Air Conditioner Manufacturing Facility
IFM Inc,503I Commerce Park Drive,Marietta,30060,33.941,-84.531,Cobb,Closed/Dismantled,Synthetic Minor,Air Conditioner Repair
Trane Technologies,712 Mcnatt Street,Vidalia,30474,32.206,-82.384,Toombs,Operational,Synthetic Minor,Air Conditioning Air Handling Equipment Manufacturing
MJC Inc,4290 Mcever Industrial Drive,Acworth,30101,33.903,-84.5,Cobb,Closed/Dismantled,Synthetic Minor,Air Conditioning Coil Manufacturing Facility
Wood-Tech Mulch,3511 Highway 92,Acworth,30102,34.098,-84.63,Cobb,Closed/Dismantled,Synthetic Minor,Air Curtain Destructor
Burton Brothers Grinding & Mulch,2851 Gordon Highway,Augusta,30909,33.438,-82.156,Richmond,Closed/Dismantled,Synthetic Minor,Air Curtain Destructor (Wood Waste Incinerator)
Sonoco Products - Temple,17 Sage Street,Temple,30179,33.738,-85.033,Carroll,Operational,Synthetic Minor,Air Curtain Destructor Incinerator
USAF Dobbins Air Force,884 Industrial Drive,Dobbins Air Reserve Base,30069,33.952,-84.551,Cobb,Operational,Synthetic Minor,Air Force Base
ROBINS AIR FORCE BASE,Hwy 247 & Watson Boulevard,Warner Robins,31098,32.611,-83.582,Houston,Operational,Title V,Air Force Base
Usaf Moody Air Force,Bemiss Road,Valdosta,31699,30.868,-83.279,Lowndes,Operational,Synthetic Minor,Air Force Base
Embraer Aircraft Maintenance Services Inc,150 East Drive,Macon,31216,32.699,-83.643,Bibb,Operational,Minor,Aircarft Subassembly Coating Opeation
Triumph Aerostructures LLC - Vought Aircraft Division,90 Hwy 22 West,Milledgeville,31061,33.096,-83.262,Baldwin,Operational,Title V,Aircraft Component Manufacturer
Garrett Aviation,1550 Hangar Road,Augusta,30906,33.371,-81.974,Richmond,Operational,Synthetic Minor,Aircraft Maint. & Repair
Gulfstream Aerospace,550 Connole Street,Brunswick,31525,31.255,-81.467,Glynn,Operational,Synthetic Minor,Aircraft Maintenance
Aeropaint 2,221 Sky Harbor Way,Griffin,30223,33.23,-84.267,Spalding,Closed/Dismantled,Synthetic Minor,Aircraft Maintenance
Express Jet Airlines Inc,990 Toffie Terrace,Atlanta,30354,33.749,-84.388,Clayton,Closed/Dismantled,Synthetic Minor,Aircraft Maintenance & Repair
Stevens Aerospace and Defense Systems LLC,100 East Drive,Macon,31216,32.703,-83.646,Bibb,Operational,Permit by Rule,Aircraft Maintnenance Repair And Overhaul Facility
LOCKHEED MARTIN AERONAUTICS CO,86 South Cobb Drive,Marietta,30063,33.92,-84.535,Cobb,Operational,Title V,Aircraft Manufacturing And Rework
Gulfstream Aerospace Corporation,500 Gulfstream Road,Savannah,31407,32.142,-81.192,Chatham,Operational,Title V,Aircraft Manufacturing And Servicing Facility
Straube's Aircraft Services,1 Falcon Drive Hanger B,Peachtree City,30269,33.36,-84.569,Fayette,Operational,Minor,Aircraft Painting
Aid Corp,250 Laurel Heights Drive,Clayton,30525,34.877,-83.386,Rabun,Closed/Dismantled,Minor,Aircraft Parts Coating
Chromalloy Georgia,1664 Lukken Industrial Drive,Lagrange,30240,33.015,-85.048,Troup,Operational,Synthetic Minor,Aircraft Parts Repair
Southwest Airlines Co,1340 Outer Loop Road,Atlanta,30307,33.625,-84.43,Fulton,Operational,Minor,Aircraft Parts/Auxiliary Equipment
Cessna Aircraft Company,5000 Cargo Drive,Columbus,31907,32.51,-84.878,Muscogee,Operational,Synthetic Minor,Aircraft Repair Facility
Tug Technologies Corporation,1995 Duncan Drive,Kennesaw,30144,34.019,-84.607,Cobb,Operational,Synthetic Minor,Airline Ground Support Equipment Manufacturing
Georgia Air Natl Guar,Filed Training Site,Savannah,31408,32.084,-81.101,Chatham,Closed/Dismantled,Minor,Airport
USAF 165 Tac Airlft G,165 Tact Aircraftgrp,Savannah,31402,32.084,-81.101,Chatham,Closed/Dismantled,Minor,Airport
DELTA AIR LINES INC - ATLANTA STATION,1775 Aviation Blvd,Atlanta,30354,33.643,-84.414,Clayton,Operational,Title V,Airport Ground Support Operations
DELTA AIR LINES INC - TECHNICAL OPERATIONS CENTER,1775 Aviation Blvd,Atlanta,30354,33.643,-84.414,Clayton,Operational,Title V,Airport Ground Support Operations
Panasonic Battery Corp Of America,One Mutec Drive,Columbus,31907,32.503,-84.873,Muscogee,Closed/Dismantled,Synthetic Minor,Alkaline Battery Mfg
Duracell Manufacturing Inc,1567 Lukken Industrial Drive West,Lagrange,30240,33.005,-85.101,Troup,Operational,Synthetic Minor,Alkaline Battery Mfg.
HPPE LLC,6906 Dixie Street,Columbus,31907,32.512,-84.872,Muscogee,Operational,Minor,Alkyd Resin & Can Coating
Polynt Composites USA Inc,71 Barnett Road,Forest Park,30297,33.615,-84.389,Clayton,Operational,Synthetic Minor,Alkyd-Polyester Resin Mfg Facility
Cargill Incorporated,216 Brookhollow Industrial Boulevard,Dalton,30721,34.709,-84.958,Whitfield,Operational,Minor,All Other Basic Organic Chemical Manufacturing
Atlantic Healthy Foods LLC,4322 Moreland Ave SE,Conley,30288,33.636,-84.318,Clayton,Operational,Minor,All Other Food Manufacturing
G2O Technologies LLC,1600 East President Street,Savannah,31404,32.072,-81.064,Chatham,Operational,Minor,Alum & Sodium Aluminate
Rath Refractories,290 Industrial Park Drive,Milledgeville,31061,33.092,-83.285,Baldwin,Operational,Synthetic Minor,Alumina Processing
Southern Aluminum Fin,1200 Old Chattahooche,Atlanta,30318,33.8,-84.426,Fulton,Closed/Dismantled,Synthetic Minor,Aluminum Anodizing&Paint
Kawneer Company Inc,7468 Hyw 54,Jonesboro,30236,33.521,-84.354,Clayton,Closed/Dismantled,Title V,Aluminum Bldg Prods Mfg
YKK AP AMERICA INC,1229 Hwy 441 Bypass,Dublin,31021,32.506,-82.945,Laurens,Operational,Title V,Aluminum Building Products Manufacturing
Mitsui Kinzoku Die-Casting Technology America Inc,The Lakes Pkwy,Griffin,30224,33.238,-84.209,Spalding,Operational,Minor,Aluminum Die Casting
Rome Die Casting,29 Westside Industrial Boulevard,Rome,30165,34.28,-85.227,Floyd,Closed/Dismantled,Synthetic Minor,Aluminum Diecasting
MI Metals Inc - Millen,3015 Industrial Park Drive,Millen,30442,32.803,-81.919,Jenkins,Operational,Synthetic Minor,Aluminum Door/Window Mfg
Bonnell Aluminum Inc,25 Bonnell Street,Newnan,30264,33.381,-84.819,Coweta,Operational,Title V,Aluminum Extruder
Profile Custom Extrusions LLC,100 Anderson Road,Rome,30161,34.206,-85.188,Floyd,Operational,Synthetic Minor,Aluminum Extruding & Painting
Exlabesa Extrusion Tifton Inc,250 Southwell Blvd,Tifton,31794,31.417,-83.496,Tift,Operational,Title V,Aluminum Extrusion
Elixir Extrusions,1300 Pope Drive,Douglas,31533,31.49,-82.863,Coffee,Operational,Minor,Aluminum Extrusion And Coating
Universal Alloy Corporation,180 Lamar Haley Parkway,Canton,30114,34.243,-84.475,Cherokee,Operational,Minor,Aluminum Extrusion Facility
Finishing Dynamics Inc,28 Andrew Way,Villa Rica,30180,33.743,-84.958,Carroll,Operational,Synthetic Minor,Aluminum Parts Coating
American Coaters LLC,2801 13Th Avenue,Cordele,31015,31.965,-83.734,Crisp,Closed/Dismantled,Title V,Aluminum Parts Coating
J M HUBER CORPORATION SOLEM DIVISION - FAIRMOUNT PLANT,187 Gordon Street,Fairmount,30139,34.442,-84.703,Gordon,Operational,Title V,Aluminum Trihydrate And Magnesium Hydroxide Processing
Custom Grinders Sales Inc,101 Holly Street,Chatsworth,30708,34.766,-84.764,Murray,Operational,Synthetic Minor,Aluminum Trihydroxide (Ath)
Hayes Lemmerz Interna,1215 Palmour Drive,Gainesville,30501,34.27,-83.826,Hall,Closed/Dismantled,Synthetic Minor,Aluminum Wheel Mfg
Seoyon E Hwa Interior Systems Georgia Inc,1518 Redding Drive,Lagrange,30240,33.006,-85.053,Troup,Operational,Minor,An Automotive Interior System Manufacturing Facility.
Paul Creek Energy Center,Mills Lindsey School Road,Warthen,31094,33.109,-82.869,Washington,Closed/Dismantled,Title V,An Electricity Generating Facility To Provide Electrical Power To The Electrical Grid During Times Of Peak Electrical Demand.
Northside Hospital Gwinnett,1000 Medical Center Boulevard,Lawrenceville,30045,33.963,-84.016,Gwinnett,Operational,Minor,Ancillary Hospital
Healthy Pet,2200 Sunset Blvd,Jesup,31546,31.564,-81.892,Wayne,Operational,Title V,Animal Bedding And Litter Manufacturing
AGRI-PRODUCTS,182 Peachtree Road,Fitzgerald,31750,31.696,-83.205,Ben Hill,Operational,Title V,Animal Bedding Manufacturing Plant
Deceased Pet Care Inc,2691 Harbins Road,Bethlehem,30620,33.952,-83.827,Gwinnett,Operational,Synthetic Minor,Animal Crematory/Cemetery
Grove River Mills,326 Pendergrass Conco,Pendergrass,30567,34.162,-83.677,Jackson,Operational,Synthetic Minor,Animal Feed Mill
Perdue Foods LLC,133 Industrial Park Court,Forsyth,31029,33.035,-83.938,Monroe,Operational,Synthetic Minor,Animal Feed Mill
JCG Farms of Alabama LLC,1750 Rome Hwy,Rockmart,30153,34.03,-85.051,Polk,Operational,Synthetic Minor,Animal Feed Mill
Mid-South Feeds Inc,403 Market Street,Alma,31510,31.54,-82.469,Bacon,Operational,Minor,Animal Feed Mill.
AmericasMart,240 Peachtree St NW Suite 2202,Atlanta,30303,33.761,-84.388,Fulton,Operational,Synthetic Minor,Apparel Market For Retail Buyers And Wholesalers.
Roper Corporation,1507 Broomtown Road,Lafayette,30728,34.686,-85.301,Walker,Operational,Synthetic Minor,Appliance Mfg
Secoa Metal Finishing,466 Bear Creek Road,Dalton,30721,34.733,-84.955,Whitfield,Operational,Minor,Appliance Parts Coating
Focal Point,5211 Olympic Ind Drive,Smyrna,30080,33.832,-84.466,Cobb,Closed/Dismantled,Synthetic Minor,Architectural Plastic
HUNTER ARMY AIRFIELD,525 Leonard Neal St,Savannah,31409,32.02,-81.136,Chatham,Operational,Title V,Army Airfield
Nutrasweet Company,1762 Lovers Lane,Augusta,30901,33.425,-81.941,Richmond,Closed/Dismantled,Title V,Artificial Sweetener Mfg.
Sloan Construction,Ga Rte 5 North,Ellijay,30540,34.695,-84.483,Gilmer,Closed/Dismantled,Synthetic Minor,Asphalt Batch Plant
Albea Const Plt 3,New Hope Road,Chatsworth,30705,34.725,-84.845,Murray,Closed/Dismantled,Synthetic Minor,Asphalt Batch Plant
Chatuge Asphalt Inc,1195 Fodder Creek Road,Hiawassee,30546,34.922,-83.736,Towns,Closed/Dismantled,Synthetic Minor,Asphalt Concrete Plant
E R Snell Contractor Inc - Plant 1400,4805 Highway 186,Good Hope,30641,33.784,-83.611,Walton,Operational,Synthetic Minor,Asphalt Concrete Production Facility
Matthews C W Contracting Co Inc,1411 Hillcrest Road,Norcross,30071,33.918,-84.163,Gwinnett,Operational,Synthetic Minor,Asphalt Drum Mix Plant
C and H Paving Inc - Camak,3911 Camak Road,Warrenton,30828,33.441,-82.61,Warren,Operational,Synthetic Minor,Asphalt Manufactruing
Headrick Constr,Us Hwy 27 South,Summerville,30747,34.46,-85.258,Chattooga,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
Snell ER Contractor Inc - Athens,1000 Winterville Road,Athens,30605,33.953,-83.345,Clarke,Operational,Synthetic Minor,Asphalt Mix Plant
Matthews C W Contract,1125 Duncan Road,Marietta,30060,33.952,-84.551,Cobb,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
Matthews C W Contracting Co Inc Plt 58,2000 Rogers Lake Road,Lithonia,30058,33.734,-84.104,Dekalb,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
ER Snell Contractor Inc - Lithonia,7800 Covington Hwy,Lithonia,30058,33.704,-84.106,Dekalb,Operational,Synthetic Minor,Asphalt Mix Plant
Shepherd Constr Plt 620,Rogers Lake Road,Lithonia,30058,33.746,-84.104,Dekalb,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
Riverdale Paving Company,1375 N County Line Road,Lithia Springs,30057,33.761,-84.675,Douglas,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
APAC Georgia Inc Macon,1825 Old Roswell Road,Alpharetta,30201,34.058,-84.312,Fulton,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
Seaboard Construction,4745 Highway 99,Brunswick,31525,31.272,-81.562,Glynn,Operational,Synthetic Minor,Asphalt Mix Plant
E R Snell Contractor Inc - Plant 0900,1055 Ozora Church Road,Grayson,30221,33.894,-83.955,Gwinnett,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
Church Paving Co,Habersham Road,Clarkesville,30523,34.61,-83.523,Habersham,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
Rockmart Asphalt Prod,Nathan Dean Hwy,Rockmart,30153,34.011,-85.047,Polk,Closed/Dismantled,Synthetic Minor,Asphalt Mix Plant
Blaw Knox,840 Old Bremen Road,Carrollton,30117,33.619,-85.1,Carroll,Closed/Dismantled,Synthetic Minor,Asphalt Paving Equipment
Reeves Construction Company,441 Richwood Road,Vienna,31092,32.046,-83.786,Dooly,Operational,Synthetic Minor,Asphalt Paving Manufacturing Plant
Blythe Industries Inc,Peachtree Street,Cartersville,30120,34.157,-84.785,Bartow,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Matthews CW Plt 06,5840-A Highway 20,Cartersville,30120,34.205,-84.764,Bartow,Operational,Synthetic Minor,Asphalt Plant
Everett Dykes Grassing Co,1339 Highway 112,Cochran,31014,32.518,-83.343,Bleckley,Operational,Synthetic Minor,Asphalt Plant
Central Southern Construction Hot Mix Asphalt Plant,1063 Uss Tennessee Ave,Kings Bay,31547,30.783,-81.558,Camden,Operational,Synthetic Minor,Asphalt Plant
Nalley W E Paving,4857 Villa Rica Hwy,Carrollton,30117,33.58,-85.076,Carroll,Closed/Dismantled,Synthetic Minor,Asphalt Plant
R B Baker Construction A Div of Reeves Construction Co,18 Foundation Drive,Savannah,31418,32.11,-81.127,Chatham,Operational,Synthetic Minor,Asphalt Plant
CW Matthews Contracting Co Inc - Garden City Asphalt Plant,228 Dean Forest Road,Garden City,31408,32.1,-81.195,Chatham,Operational,Synthetic Minor,Asphalt Plant
APAC-Georgia Inc,4420 Hightower Road,Ball Ground,30107,34.293,-84.263,Cherokee,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Matthews C W Contracting Co Inc Plt 53,1675 Winterville Road,Athens,30605,33.956,-83.327,Clarke,Operational,Synthetic Minor,Asphalt Plant
Bankhead Contracting Inc,1270 Duncan Road,Kennesaw,30144,34.02,-84.581,Cobb,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Matthews C W Contracting Co Inc Plt 57,951 Duncan Road,Kennesaw,30144,34.017,-84.576,Cobb,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Baldwin Paving Co Inc - Kennesaw Plant,951 Duncan Road,Kennesaw,30144,34.018,-84.579,Cobb,Operational,Synthetic Minor,Asphalt Plant
Reeves Cc Inc - Appling Hmaf,5607 Columbia Road,Appling,30802,33.531,-82.288,Columbia,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Reeves Construction Company,2281 Hwy 41 South,Cordele,31015,31.964,-83.783,Crisp,Closed/Dismantled,Synthetic Minor,Asphalt Plant
The Scruggs Company,2281 Us Hwy 41 South,Cordele,31015,31.935,-83.776,Crisp,Operational,Permit by Rule,Asphalt Plant
Oxford Construction Plt 2,1264 Colquitt Hwy,Bainbridge,39817,30.968,-84.612,Decatur,Operational,Synthetic Minor,Asphalt Plant
HEH Almand Avenue Asphalt Plant,3384 Almand Road Ne,Atlanta,30316,33.685,-84.345,Dekalb,Operational,Synthetic Minor,Asphalt Plant
Bankhead Enterprises,County Line Road,Lithia Springs,30057,33.787,-84.668,Douglas,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Holloway Const Co Asp,County Line Road,Lithia Springs,30057,33.787,-84.668,Douglas,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Everett Dykes Grassing Co Inc US 1 Plant,Us-1 Gar Road,Oak Park,30401,32.399,-82.309,Emanuel,Operational,Synthetic Minor,Asphalt Plant
Gurley Construction Inc,99 North Ne,Rome,30161,34.257,-85.165,Floyd,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Matthews C W Contracting Co Inc Plt 55,3561 Peachtree Pkwy,Suwanee,30174,34.075,-84.164,Forsyth,Operational,Synthetic Minor,Asphalt Plant
Matthews CW Plt 05,3561 Peachtree Pkwy,Suwanee,30174,34.075,-84.164,Forsyth,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Baldwin Paving Company Inc,1535 Ronald Reagan Blvd,Cumming,30041,34.173,-84.138,Forsyth,Operational,Synthetic Minor,Asphalt Plant
Mullins Brothers Paving,1692 Empire Ave,East Point,30344,33.693,-84.444,Fulton,Operational,Permit by Rule,Asphalt Plant
APAC Georgia Inc Macd,2489 Daniel Road SW,Atlanta,30331,33.688,-84.515,Fulton,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Lee C M Co Inc,6889 Watson St,Union City,30291,33.57,-84.55,Fulton,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Bankhead Enterprises Inc,1230 North Ave,Atlanta,30307,33.771,-84.348,Fulton,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Pittman Construction Company,1191 B Bethany Road,Greensboro,30642,33.577,-83.183,Greene,Operational,Synthetic Minor,Asphalt Plant
Pittman Construction Company - Demorest Plant,1090 Double Springs Road,Demorest,30535,34.57,-83.561,Habersham,Operational,Synthetic Minor,Asphalt Plant
Highway Materials Inc,Ga Hwy 115,Toccoa,30577,34.577,-83.333,Habersham,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Pittman Construction Company,2403 Shoals Road,Sparta,31087,33.255,-82.899,Hancock,Operational,Synthetic Minor,Asphalt Plant
E R Snell Contractor Inc,142 Rock Quarry Road,Stockbridge,30281,33.523,-84.23,Henry,Operational,Synthetic Minor,Asphalt Plant
Matthews C W Contracting Co Inc Plt 63,152 Rock Quarry Road,Stockbridge,30281,33.537,-84.225,Henry,Operational,Synthetic Minor,Asphalt Plant
Reeves Construction Co,1263 Lite-N-Tie Road,Macon,31211,32.936,-83.536,Jones,Operational,Synthetic Minor,Asphalt Plant
Scruggs Company (Plt #3),4679 Old Hwy 41 North,Valdosta,31602,30.832,-83.279,Lowndes,Operational,Synthetic Minor,Asphalt Plant
Matthews C W Contracting Co Inc Plt 66,2930 Smith Road,Fortson,30808,32.595,-84.948,Muscogee,Closed/Dismantled,Synthetic Minor,Asphalt Plant
Matthews CW Plt 28,1240 Buchanan Hwy,Dallas,30132,33.904,-84.875,Paulding,Closed/Dismantled,Synthetic Minor,Asphalt Plant
